Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Refs
Five,"October 6 – 11, 1852",105 mph (165 km/h),969 hPa (28.61 inHg),"Jamaica, Yucatán Peninsula, Florida",Unknown,Minor,[2][3][4]
Eight,"October 19 – 22, 1853",105 mph (165 km/h),996 hPa (29.41 inHg),"Florida, Georgia",Unknown,Significant,[2][5][6]
Four,"September 18 – 20, 1854",105 mph (165 km/h),965 hPa (28.50 inHg),Texas,4,$20 thousand,[2][7][8][9]
One,"August 6, 1855",105 mph (165 km/h),Unknown,Tampico,Unknown,Unknown,[2][10][11]
Two,"August 10 – 11, 1855",105 mph (165 km/h),Unknown,No land areas,0,None,[2][10]
Two,"September 6 – 17, 1857",105 mph (165 km/h),961 hPa (28.38 inHg),"North Carolina, East Coast of the United States",424,Unknown,[2][12][13][14]
Four,"September 24 – 30, 1857",105 mph (165 km/h),Unknown,"Mexico, Texas",0,Unknown,[2][12][15]
Three,"September 14 – 17, 1858",105 mph (165 km/h),979 hPa (28.91 inHg),"Florida, New York, Massachusetts, Maine",0,Unknown,[2][16][17]
Six,"October 21 – 26, 1858",105 mph (165 km/h),Unknown,"Bahamas, Bermuda",0,Minor,[2][16][18]
One,"July 1, 1859",105 mph (165 km/h),Unknown,Mexico (Veracruz),0,Unknown,[2][19][20]
Two,"August 17 – 19, 1859",105 mph (165 km/h),982 hPa (29.00 inHg),No land areas,0,None,[2][19]
Four,"September 12 – 13, 1859",105 mph (165 km/h),Unknown,No land areas,0,None,[2][19]
Two,"August 24 – 26, 1860",100 mph (155 km/h),Unknown,No land areas,0,Minimal,[2][21]
Four,"September 11 – 16, 1860",100 mph (155 km/h),969 hPa (28.61 inHg),"Louisiana, Mississippi, Alabama",Unknown,>$1 million,[2][22][23]
Six,"September 30 – October 3, 1860",105 mph (165 km/h),969 hPa (28.61 inHg),"Louisiana, Mississippi",15+,Severe,[2][24][23][25][26]
Seven,"October 20 – 24, 1860",105 mph (165 km/h),Unknown,No land areas,0,None,[2][20][27]
One,"July 6 – 12, 1861",105 mph (165 km/h),Unknown,No land areas,0,Minimal,[2][28]
Three,"August 25 – 30, 1861",105 mph (165 km/h),958 hPa (28.29 inHg),No land areas,0,None,[2][21][29]
Two,"August 18 – 21, 1862",105 mph (165 km/h),Unknown,No land areas,0,None,[2]
Three,"September 12 – 20, 1862",105 mph (165 km/h),Unknown,No land areas,0,None,[2][16]
One,"August 8 – 9, 1863",105 mph (165 km/h),Unknown,No land areas,0,None,[2][30]
Two,"August 18 – 19, 1863",105 mph (165 km/h),Unknown,No land areas,0,None,[2][30]
Three,"August 19 – 23, 1863",105 mph (165 km/h),975 hPa (28.79 inHg),St. Paul Island,0,Minor,[2][30][31]
Four,"August 27 – 28, 1863",105 mph (165 km/h),Unknown,No land areas,0,None,[2][30]
Four,"September 6 – 14, 1865",105 mph (165 km/h),969 hPa (28.61 inHg),"Guadeloupe, Louisiana, Texas",325,Severe,[2][32][33][23]
Seven,"October 18 – 25, 1865",105 mph (165 km/h),969 hPa (28.61 inHg),"Panama, Florida",1,$300 thousand,[2][32]
One,"July 11 – 16, 1866",105 mph (165 km/h),969 hPa (28.61 inHg),"Louisiana, Texas",Unknown,Unknown,[2][34][20]
Two,"August 13 – 18, 1866",105 mph (165 km/h),Unknown,"Mexico (Yucatán Peninsula, Veracruz)",Unknown,Minor,[2][34]
Four,"September 22 – 24, 1866",105 mph (165 km/h),Unknown,Newfoundland,8,Unknown,[2][34][35]
Two,"July 28 – August 3, 1867",105 mph (165 km/h),969 hPa (28.61 inHg),"East Coast of the United States, Massachusetts",13,High,[2][36][37]
Three,"August 2, 1867",105 mph (165 km/h),Unknown,No land areas,0,None,[2][20]
Six,"September 29 – October 1, 1867",105 mph (165 km/h),Unknown,No land areas,0,None,[2]
Seven,"October 2 – 9, 1867",105 mph (165 km/h),969 hPa (28.61 inHg),"Mexico (Tamaulipas), Texas, Louisiana, Gulf Coast of the United States, Florida, North Carolina","""Many""",Severe,[2][20][38][39]
One,"September 3 – 7, 1868",105 mph (165 km/h),Unknown,No land areas,2,Minimal,[2][40][41]
Three,"October 5 – 7, 1868",105 mph (165 km/h),Unknown,No land areas,0,None,[2][41]
Four,"October 15 – 17, 1868",105 mph (165 km/h),Unknown,No land areas,0,Minimal,[2][41]
One,"August 12, 1869",105 mph (165 km/h),Unknown,No land areas,0,None,[2][42]
Two,"August 16 – 17, 1869",105 mph (165 km/h),969 hPa (28.61 inHg),Texas,Unknown,Intense,[2][42][23]
Seven,"September 11 – 18, 1869",105 mph (165 km/h),979 hPa (28.91 inHg),No land areas,0,None,[2][42][20]
Ten,"October 4 – 5, 1869",105 mph (165 km/h),965 hPa (28.50 inHg),"New York, Connecticut, Massachusetts, Maine, New Brunswick",37,Severe,[2][42][20][43][44]
Two,"August 30 – September 4, 1870",105 mph (165 km/h),Unknown,No land areas,0,None,[2]
Nine,"October 19 – 22, 1870",105 mph (165 km/h),970 hPa (28.64 inHg),"Cuba, Florida",52,Severe,[2][20][45]
Ten,"October 23 – 24, 1870",105 mph (165 km/h),Unknown,Nova Scotia,0,None,[2][46]
Five,"August 30 – September 2, 1871",105 mph (165 km/h),Unknown,No land areas,0,None,[2][47]
Two,"August 20 – September 1, 1872",105 mph (165 km/h),Unknown,Newfoundland,0,None,[2]
