Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Refs
One,"June 25 – 28, 1851",90 mph (150 km/h),977 hPa (28.85 inHg),"Texas, Mexico",1,Severe,[2][3][4]
Two,"July 5 – 6, 1851",90 mph (150 km/h),978 hPa (28.88 inHg),Mexico,0,Unknown,[2][5]
Hurricane San Lorenzo of 1852,"September 5 – 6, 1852",80 mph (130 km/h),Unknown,"Puerto Rico, Hispaniola",≥ 100,Unknown,[2][6][7]
Three,"September 9 – 13, 1852",80 mph (130 km/h),985 hPa (29.09 inHg),"Florida, The Bahamas",0,Unknown,[2][7]
Four,"September 22 – 30, 1852",90 mph (150 km/h),Unknown,Leeward Islands,0,Minor,[2][7]
Six,"September 26 – October 1, 1853",80 mph (130 km/h),Unknown,Bermuda,0,None,[2][8]
One,"June 25 – 27, 1854",80 mph (130 km/h),982 hPa (29.00 inHg),"Texas, Mexico",0,Moderate,[2][3]
Three,"August 11, 1855",80 mph (130 km/h),Unknown,None,0,None,[2][9]
Two,"August 13 – 14, 1856",80 mph (130 km/h),Unknown,"Barbados, Grenada, Windward Islands",0,Considerable,[2][10]
Six,"September 18 – 22, 1856",80 mph (130 km/h),Unknown,None,0,None,[2][10]
Three,"September 20 – 26, 1857",80 mph (130 km/h),Unknown,None,0,None,[2][11]
One,"June 12, 1858",80 mph (130 km/h),Unknown,None,0,None,[2][12]
Two,"August 5, 1858",80 mph (130 km/h),Unknown,None,0,None,[2][12]
Four,"September 17 – 24, 1858",90 mph (150 km/h),Unknown,None,0,None,[2][12]
Five,"September 22 – 25, 1858",90 mph (150 km/h),Unknown,"Cuba, Haiti, The Bahamas",0,None,[2][12]
Three,"September 2 – 3, 1859",80 mph (130 km/h),Unknown,Lesser Antilles,0,None,[2][13]
Five,"September 15 – 18, 1859",80 mph (130 km/h),982 hPa (29.00 inHg),"Southeastern United States, Eastern United States",2,"$10,000 ",[2][4][13]
Eight,"October 24 – 29, 1859",90 mph (150 km/h),974 hPa (28.76 inHg),"Mexico, Florida",Unknown,Unknown,[2][13]
Three,"September 11, 1860",80 mph (130 km/h),Unknown,None,0,None,[2][14]
Two,"August 13 – 17, 1861",90 mph (150 km/h),978 hPa (28.88 inHg),"Hispaniola, The Bahamas, Cuba, Florida",0,Unknown,[2][15]
Four,"September 17, 1861",80 mph (130 km/h),Unknown,None,0,None,[2][15]
Five,"September 27 – 28, 1861",80 mph (130 km/h),978 hPa (28.88 inHg),East Coast of the United States,0,Unknown,[2][15]
The Expedition Hurricane of 1861,"November 1 – 3, 1861",80 mph (130 km/h),985 hPa (29.09 inHg),East Coast of the United States,0,Unknown,[2][15][16]
Five,"October 14 – 16, 1862",80 mph (130 km/h),Unknown,New England,3,Unknown,[2][17][18]
Five,"September 9 – 16, 1863",80 mph (130 km/h),Unknown,Bermuda,0,None,[2][19]
One,"July 16 – 18, 1864",80 mph (130 km/h),Unknown,Bermuda,0,None,[2]
Three,"August 26 – September 1, 1864",80 mph (130 km/h),Unknown,"Leeward Islands, Central America",0,None,[2]
Five,"October 22 – 24, 1864",80 mph (130 km/h),Unknown,None,0,None,[2]
Three,"September 4 – 7, 1866",80 mph (130 km/h),Unknown,"Bermuda, Newfoundland and Labrador",0,Minimal,[2]
Four,"September 18 – 20, 1866",80 mph (130 km/h),Unknown,None,0,None,[2]
One,"June 21 – 23, 1867",80 mph (130 km/h),985 hPa (29.09 inHg),East Coast of the United States,0,None,[2]
Four,"August 31 – September 3, 1867",80 mph (130 km/h),Unknown,New England,0,None,[2]
Five,"September 4 – 6, 1869",80 mph (130 km/h),985 hPa (29.09 inHg),Louisiana,0,Unknown,[2]
The Mobile Hurricane of 1870,"July 30, 1870",80 mph (130 km/h),985 hPa (29.09 inHg),"Alabama, Florida, Louisiana",Unknown,"$200,000 ",[2]
Five,"September 17 – 19, 1870",90 mph (150 km/h),969 hPa (28.61 inHg),None,0,None,[2]
Seven,"October 7, 1870",80 mph (130 km/h),Unknown,None,0,None,[2]
Eight,"October 10 – 11, 1870",80 mph (130 km/h),Unknown,None,0,None,[2]
Eleven,"October 30 – November 3, 1870",80 mph (130 km/h),Unknown,"Central America, Cuba, Florida",0,Unknown,[2]
